cliente_id,fecha_registro,departamento,ciudad,edad,genero,estrato,nivel_educativo,ocupacion,ingreso_mensual_estimado,canal_adquisicion,score_externo,tiene_producto_ahorro,numero_dependientes,dispositivo_principal,email_hash
CL00001,2024-03-25,Valle del Cauca,Cali,41,M,1,Técnico/Tecnólogo,Comerciante,1600000.0,Campaña digital,444.0,False,2,Android,hash_732413
CL00002,2025-09-27,Tolima,Ibagué,35,F,3,Técnico/Tecnólogo,Pensionado,3310000.0,Referido,580.0,False,3,iOS,hash_130099
CL00003,2024-01-19,Bogotá D.C.,Bogotá,42,F,2,Universitario,Independiente,2350000.0,Campaña digital,564.0,False,0,iOS,hash_166668
CL00004,2025-09-11,Antioquia,Medellín,51,M,5,Posgrado,Estudiante,1450000.0,Campaña digital,631.0,True,0,Android,hash_325391
CL00005,2025-12-12,Cundinamarca,Soacha,34,F,1,Universitario,Empleado,910000.0,Aliado comercial,515.0,False,2,Android,hash_782416
CL00006,2024-03-12,Valle del Cauca,Cali,34,F,2,Técnico/Tecnólogo,Empleado,3440000.0,Referido,466.0,True,0,iOS,hash_308859
CL00007,2025-03-21,Antioquia,Medellín,52,M,3,Universitario,Conductor/Repartidor,3860000.0,App orgánico,600.0,True,0,Android,hash_238286
CL00008,2023-12-30,Cundinamarca,Soacha,44,F,4,Técnico/Tecnólogo,Desempleado,1500000.0,Campaña digital,456.0,True,0,Android,hash_305776
CL00009,2025-08-21,Meta,Villavicencio,31,F,2,Técnico/Tecnólogo,Empleado,1550000.0,Aliado comercial,582.0,False,0,Web,hash_457246
CL00010,2024-12-10,Cundinamarca,Soacha,41,F,3,Posgrado,Conductor/Repartidor,2570000.0,Referido,576.0,True,0,Android,hash_162021
CL00011,2025-07-30,Antioquia,Medellín,31,F,4,Técnico/Tecnólogo,Desempleado,1300000.0,Referido,573.0,False,1,Android,hash_435299
CL00012,2024-01-24,Antioquia,Medellín,31,M,4,Universitario,Empleado,3510000.0,Campaña digital,665.0,False,0,Android,hash_925626
CL00013,2024-10-26,Valle del Cauca,Cali,38,M,5,Técnico/Tecnólogo,Empleado,4670000.0,Aliado comercial,692.0,False,0,Android,hash_505105
CL00014,2025-09-30,Cundinamarca,Soacha,19,F,1,Técnico/Tecnólogo,Estudiante,760000.0,App orgánico,435.0,False,3,Android,hash_335419
CL00015,2026-01-02,Antioquia,Medellín,19,M,4,Bachiller,Empleado,2970000.0,App orgánico,506.0,False,4,iOS,hash_479270
CL00016,2023-03-05,Atlántico,Barranquilla,30,F,2,Sin información,Empleado,2340000.0,Aliado comercial,577.0,True,1,Web,hash_503777
CL00017,2024-11-22,Caldas,Manizales,26,F,2,Técnico/Tecnólogo,Empleado,3690000.0,App orgánico,658.0,False,1,iOS,hash_466081
CL00018,2024-03-23,Antioquia,Medellín,39,M,5,Bachiller,Comerciante,2890000.0,Referido,651.0,False,1,Android,hash_771553
CL00019,2024-09-27,Bogotá D.C.,Bogotá,27,M,5,Universitario,Empleado,5350000.0,Campaña digital,649.0,True,0,Android,hash_626930
CL00020,2023-08-14,Bogotá D.C.,Bogotá,22,M,5,Universitario,Empleado,4890000.0,Referido,706.0,True,2,Android,hash_838096
CL00021,2023-07-08,Valle del Cauca,Cali,51,M,2,Sin información,Pensionado,2440000.0,App orgánico,674.0,True,1,Android,hash_500890
CL00022,2023-07-21,Bogotá D.C.,Bogotá,34,M,4,Universitario,Microempresario,4220000.0,Campaña digital,743.0,True,2,Android,hash_321552
CL00023,2025-11-13,Cundinamarca,Soacha,37,F,5,Sin información,Empleado,3930000.0,Referido,669.0,False,0,Android,hash_429231
