evento_id,cliente_id,fecha_evento,tipo_evento,canal,resultado_evento,dispositivo,duracion_sesion_seg
EV00000001,CL00001,2024-08-21,simulacion_credito,app,exitoso,Android,227
EV00000002,CL00001,2024-10-18,login,app,abandonado,Android,34
EV00000003,CL00001,2025-02-25,pago_fallido,app,error_banco,Android,191
EV00000004,CL00001,2024-11-25,login,app,exitoso,Android,91
EV00000005,CL00002,2025-10-30,login,app,exitoso,iOS,155
EV00000006,CL00002,2025-09-30,consulta_saldo,web,exitoso,iOS,122
EV00000007,CL00002,2025-11-06,login,web,exitoso,iOS,248
EV00000008,CL00002,2025-12-05,login,app,exitoso,iOS,305
EV00000009,CL00002,2025-10-21,login,whatsapp,exitoso,iOS,247
EV00000010,CL00002,2025-10-07,simulacion_credito,call_center,exitoso,iOS,25
EV00000011,CL00002,2025-10-28,actualizacion_datos,app,exitoso,iOS,145
EV00000012,CL00002,2026-03-25,pago_fallido,whatsapp,fondos_insuficientes,iOS,55
EV00000013,CL00003,2024-03-31,pago_iniciado,app,exitoso,iOS,149
EV00000014,CL00003,2026-04-06,pago_iniciado,app,exitoso,iOS,154
EV00000015,CL00003,2025-03-26,login,app,abandonado,iOS,297
EV00000016,CL00003,2024-04-16,login,app,exitoso,iOS,111
EV00000017,CL00003,2024-11-26,consulta_saldo,app,exitoso,iOS,43
EV00000018,CL00003,2024-02-01,login,app,abandonado,iOS,79
EV00000019,CL00003,2025-03-14,pago_iniciado,app,exitoso,iOS,145
EV00000020,CL00003,2025-11-14,login,app,exitoso,iOS,125
EV00000021,CL00003,2024-02-11,login,app,exitoso,iOS,272
EV00000022,CL00003,2025-01-05,pago_exitoso,whatsapp,exitoso,iOS,125
EV00000023,CL00003,2025-09-13,actualizacion_datos,app,exitoso,iOS,72
EV00000024,CL00003,2025-08-24,consulta_saldo,app,exitoso,iOS,113
EV00000025,CL00003,2024-04-05,pago_exitoso,app,exitoso,iOS,156
EV00000026,CL00003,2024-04-16,login,app,exitoso,iOS,431
EV00000027,CL00003,2025-12-24,simulacion_credito,app,exitoso,iOS,218
EV00000028,CL00003,2024-10-02,login,app,exitoso,iOS,103
EV00000029,CL00003,2025-04-30,consulta_saldo,app,exitoso,iOS,79
EV00000030,CL00003,2024-05-04,pago_iniciado,whatsapp,exitoso,iOS,208
EV00000031,CL00004,2026-01-14,login,app,exitoso,Android,189
EV00000032,CL00004,2026-04-28,simulacion_credito,app,exitoso,Android,45
EV00000033,CL00004,2025-12-31,consulta_saldo,web,exitoso,Android,120
EV00000034,CL00004,2025-10-03,login,app,exitoso,Android,168
EV00000035,CL00004,2026-04-21,solicitud_soporte,app,resuelto,Android,69
EV00000036,CL00004,2026-02-15,simulacion_credito,app,exitoso,Android,258
EV00000037,CL00005,2026-02-19,pago_exitoso,web,exitoso,Android,35
EV00000038,CL00005,2026-03-13,login,app,exitoso,Android,136
EV00000039,CL00005,2026-04-09,consulta_saldo,app,exitoso,Android,196
EV00000040,CL00005,2026-01-23,login,app,abandonado,Android,347
EV00000041,CL00005,2026-01-29,pago_fallido,app,fondos_insuficientes,Android,255
EV00000042,CL00005,2026-02-01,consulta_saldo,app,exitoso,Android,40
EV00000043,CL00005,2026-02-05,pago_exitoso,app,abandonado,Android,395
EV00000044,CL00005,2026-02-25,pago_iniciado,app,exitoso,Android,84
EV00000045,CL00005,2026-03-29,login,app,exitoso,Android,238
EV00000046,CL00005,2025-12-27,pago_iniciado,app,abandonado,Android,332
EV00000047,CL00006,2024-06-14,pago_fallido,whatsapp,fondos_insuficientes,iOS,219
EV00000048,CL00006,2024-12-19,actualizacion_datos,call_center,exitoso,iOS,47
EV00000049,CL00006,2024-12-17,actualizacion_datos,app,exitoso,iOS,291
EV00000050,CL00006,2026-02-27,pago_iniciado,app,exitoso,iOS,235
EV00000051,CL00006,2025-01-07,pago_fallido,app,timeout,iOS,114
EV00000052,CL00006,2024-09-24,simulacion_credito,app,exitoso,iOS,196
EV00000053,CL00006,2026-03-22,consulta_saldo,call_center,exitoso,iOS,248
EV00000054,CL00006,2025-12-10,consulta_saldo,app,exitoso,iOS,43
EV00000055,CL00007,2025-07-15,login,web,abandonado,Android,109
EV00000056,CL00007,2026-01-29,solicitud_soporte,app,escalado,Android,18
EV00000057,CL00007,2026-03-20,login,app,exitoso,Android,438
EV00000058,CL00007,2026-04-08,consulta_saldo,app,exitoso,Android,174
EV00000059,CL00007,2026-01-06,login,whatsapp,exitoso,Android,121
EV00000060,CL00007,2026-02-23,consulta_saldo,app,exitoso,Android,157
EV00000061,CL00007,2025-10-12,simulacion_credito,app,abandonado,Android,143
EV00000062,CL00007,2025-12-10,pago_fallido,app,fondos_insuficientes,Android,124
EV00000063,CL00007,2025-07-11,pago_exitoso,web,exitoso,Android,55
EV00000064,CL00007,2025-09-28,consulta_saldo,whatsapp,abandonado,Android,354
EV00000065,CL00007,2025-03-22,login,app,exitoso,Android,148
EV00000066,CL00007,2025-04-02,login,app,exitoso,Android,80
EV00000067,CL00008,2026-03-09,login,app,exitoso,Android,258
EV00000068,CL00008,2024-05-27,pago_iniciado,app,exitoso,Android,198
EV00000069,CL00008,2026-03-08,pago_exitoso,app,exitoso,Android,58
EV00000070,CL00008,2024-07-31,pago_exitoso,app,abandonado,Android,242
EV00000071,CL00008,2024-03-20,login,app,abandonado,Android,64
EV00000072,CL00008,2025-02-01,login,web,abandonado,Android,45
EV00000073,CL00008,2026-03-08,pago_fallido,app,fondos_insuficientes,Android,91
