credito_id,cliente_id,fecha_desembolso,producto_credito,monto_credito,plazo_meses,tasa_interes_mensual,valor_cuota_pactada,canal_originacion,score_interno_originacion,relacion_cuota_ingreso,politica_aprobacion,estado_credito_operativo,riesgo_mora_30,edad,genero,estrato,nivel_educativo,ocupacion,ingreso_mensual_estimado,score_externo,tiene_producto_ahorro,numero_dependientes,dispositivo_principal,total_eventos_pre,duracion_promedio_pre
CR000001,CL00001,2025-03-25,Crédito libre inversión,2000000,9,0.0301,257000,App,677,0.1606,Automática,Finalizado,0,41,M,1,Técnico/Tecnólogo,Comerciante,1600000.0,444.0,False,2,Android,4.0,135.75
CR000002,CL00002,2025-09-08,Avance de nómina,2150000,3,0.0261,754000,Web,859,0.2278,Automática,Finalizado,0,35,F,3,Técnico/Tecnólogo,Pensionado,3310000.0,580.0,False,3,iOS,,
CR000003,CL00003,2024-06-28,Microcrédito,4350000,6,0.0398,829000,Aliado,805,0.3528,Manual,Mora moderada,1,42,F,2,Universitario,Independiente,2350000.0,564.0,False,0,iOS,26.0,172.42307692307693
CR000004,CL00003,2024-03-22,Avance de nómina,950000,12,0.0233,92000,App,861,0.0391,Automática,Finalizado,0,42,F,2,Universitario,Independiente,2350000.0,564.0,False,0,iOS,26.0,172.42307692307693
CR000005,CL00003,2026-01-30,Crédito consumo digital,1450000,9,0.0211,179000,Aliado,865,0.0762,Automática,Activo,0,42,F,2,Universitario,Independiente,2350000.0,564.0,False,0,iOS,26.0,172.42307692307693
CR000006,CL00005,2026-01-28,Microcrédito,1300000,6,0.0253,236000,App,776,0.2593,Automática,Mora moderada,1,34,F,1,Universitario,Empleado,910000.0,515.0,False,2,Android,2.0,339.5
CR000007,CL00006,2024-08-11,Crédito libre inversión,3800000,12,0.0293,380000,Web,867,0.1105,Automática,Finalizado,0,34,F,2,Técnico/Tecnólogo,Empleado,3440000.0,466.0,True,0,iOS,1.0,219.0
CR000008,CL00007,2025-06-24,Crédito libre inversión,10800000,12,0.0319,1098000,Aliado,875,0.2845,Automática,Mora severa,1,52,M,3,Universitario,Conductor/Repartidor,3860000.0,600.0,True,0,Android,2.0,114.0
CR000009,CL00008,2024-10-19,Microcrédito,1300000,18,0.0314,96000,App,606,0.064,Manual,Mora severa,1,44,F,4,Técnico/Tecnólogo,Desempleado,1500000.0,456.0,True,0,Android,4.0,140.75
CR000010,CL00010,2025-04-16,Crédito libre inversión,2100000,24,0.0336,129000,App,874,0.0502,Automática,Mora moderada,1,41,F,3,Posgrado,Conductor/Repartidor,2570000.0,576.0,True,0,Android,3.0,170.33333333333334
CR000011,CL00011,2025-09-11,Crédito consumo digital,350000,12,0.0252,34000,App,783,0.0262,Automática,Activo,0,31,F,4,Técnico/Tecnólogo,Desempleado,1300000.0,573.0,False,1,Android,4.0,284.25
CR000012,CL00011,2026-01-11,Crédito libre inversión,1300000,12,0.0315,132000,Web,756,0.1015,Automática,Activo,0,31,F,4,Técnico/Tecnólogo,Desempleado,1300000.0,573.0,False,1,Android,4.0,284.25
CR000013,CL00012,2025-03-29,Crédito libre inversión,6300000,9,0.0268,797000,Web,870,0.2271,Automática,Finalizado,0,31,M,4,Universitario,Empleado,3510000.0,665.0,False,0,Android,3.0,293.3333333333333
CR000014,CL00013,2026-01-19,Crédito consumo digital,1700000,6,0.0259,310000,App,866,0.0664,Automática,Activo,0,38,M,5,Técnico/Tecnólogo,Empleado,4670000.0,692.0,False,0,Android,4.0,184.5
CR000015,CL00014,2026-02-12,Crédito consumo digital,600000,3,0.0222,209000,Web,610,0.275,Manual,Activo,0,19,F,1,Técnico/Tecnólogo,Estudiante,760000.0,435.0,False,3,Android,7.0,148.14285714285714
CR000016,CL00015,2025-12-14,Crédito consumo digital,1400000,12,0.0286,139000,App,836,0.0468,Automática,Activo,0,19,M,4,Bachiller,Empleado,2970000.0,506.0,False,4,iOS,,
CR000017,CL00015,2025-12-13,Crédito libre inversión,4400000,6,0.022,791000,Web,727,0.2663,Automática,Mora severa,1,19,M,4,Bachiller,Empleado,2970000.0,506.0,False,4,iOS,,
CR000018,CL00015,2025-12-05,Crédito consumo digital,1450000,9,0.0377,193000,App,868,0.065,Automática,Activo,0,19,M,4,Bachiller,Empleado,2970000.0,506.0,False,4,iOS,,
CR000019,CL00016,2024-11-14,Crédito libre inversión,4350000,9,0.0309,561000,App,857,0.2397,Automática,Finalizado,0,30,F,2,Sin información,Empleado,2340000.0,577.0,True,1,Web,3.0,216.66666666666666
CR000020,CL00017,2025-10-17,Crédito consumo digital,4200000,9,0.0275,533000,App,894,0.1444,Automática,Activo,0,26,F,2,Técnico/Tecnólogo,Empleado,3690000.0,658.0,False,1,iOS,5.0,179.4
CR000021,CL00018,2024-11-27,Crédito consumo digital,850000,6,0.0234,154000,Call center,874,0.0533,Automática,Finalizado,0,39,M,5,Bachiller,Comerciante,2890000.0,651.0,False,1,Android,3.0,133.0
CR000022,CL00020,2025-04-07,Crédito consumo digital,1950000,3,0.034,695000,Aliado,900,0.1421,Automática,Finalizado,0,22,M,5,Universitario,Empleado,4890000.0,706.0,True,2,Android,10.0,122.6
CR000023,CL00023,2026-01-26,Crédito consumo digital,4100000,9,0.0322,532000,App,900,0.1354,Automática,Activo,0,37,F,5,Sin información,Empleado,3930000.0,669.0,False,0,Android,1.0,65.0
CR000024,CL00026,2025-10-28,Crédito consumo digital,2050000,12,0.0308,207000,App,867,0.0674,Automática,Activo,0,37,F,3,Técnico/Tecnólogo,Independiente,3070000.0,618.0,False,0,Android,,
CR000025,CL00027,2024-03-03,Crédito consumo digital,1300000,12,0.0248,127000,App,845,0.0357,Automática,Mora severa,1,24,F,5,Técnico/Tecnólogo,Independiente,3560000.0,616.0,True,1,iOS,2.0,74.0
CR000026,CL00028,2025-05-15,Crédito consumo digital,850000,12,0.0212,81000,Aliado,708,0.075,Automática,Mora severa,1,40,F,4,Sin información,Estudiante,1080000.0,548.0,False,0,iOS,5.0,101.2
CR000027,CL00028,2025-10-03,Crédito libre inversión,1950000,6,0.0311,361000,Aliado,667,0.3343,Automática,Finalizado,0,40,F,4,Sin información,Estudiante,1080000.0,548.0,False,0,iOS,5.0,101.2
CR000028,CL00028,2025-12-20,Crédito libre inversión,2550000,6,0.0284,468000,App,661,0.4333,Manual,Activo,0,40,F,4,Sin información,Estudiante,1080000.0,548.0,False,0,iOS,5.0,101.2
CR000029,CL00029,2025-10-10,Crédito consumo digital,3300000,6,0.0322,614000,App,877,0.1616,Automática,Finalizado,0,30,F,2,Técnico/Tecnólogo,Microempresario,3800000.0,645.0,False,0,Android,8.0,195.5
CR000030,CL00030,2025-12-18,Crédito libre inversión,4350000,12,0.0217,416000,App,864,0.1195,Automática,Activo,0,33,M,3,Universitario,Empleado,3480000.0,636.0,False,0,Android,1.0,25.0
CR000031,CL00031,2026-01-29,Crédito libre inversión,9600000,18,0.0204,643000,Aliado,900,0.1448,Automática,Activo,0,30,M,3,Universitario,Independiente,4440000.0,615.0,True,0,Android,6.0,92.5
