credito_id,cliente_id,fecha_desembolso,producto_credito,monto_credito,plazo_meses,tasa_interes_mensual,valor_cuota_pactada,canal_originacion,score_interno_originacion,relacion_cuota_ingreso,politica_aprobacion,estado_credito_operativo,riesgo_mora_30,edad,genero,estrato,nivel_educativo,ocupacion,ingreso_mensual_estimado,score_externo,tiene_producto_ahorro,numero_dependientes,dispositivo_principal,total_eventos_pre,duracion_promedio_pre,prob_riesgo
CR000001,CL00001,2025-03-25,Crédito libre inversión,2000000,9,0.0301,257000,App,677,0.1606,Automática,Finalizado,0,41,M,1,Técnico/Tecnólogo,Comerciante,1600000.0,444.0,False,2,Android,4.0,135.75,0.026151077152865118
CR000002,CL00002,2025-09-08,Avance de nómina,2150000,3,0.0261,754000,Web,859,0.2278,Automática,Finalizado,0,35,F,3,Técnico/Tecnólogo,Pensionado,3310000.0,580.0,False,3,iOS,,,0.005662346884642776
CR000003,CL00003,2024-06-28,Microcrédito,4350000,6,0.0398,829000,Aliado,805,0.3528,Manual,Mora moderada,1,42,F,2,Universitario,Independiente,2350000.0,564.0,False,0,iOS,26.0,172.42307692307693,0.6442135398871718
CR000004,CL00003,2024-03-22,Avance de nómina,950000,12,0.0233,92000,App,861,0.0391,Automática,Finalizado,0,42,F,2,Universitario,Independiente,2350000.0,564.0,False,0,iOS,26.0,172.42307692307693,0.00589891581383446
CR000005,CL00003,2026-01-30,Crédito consumo digital,1450000,9,0.0211,179000,Aliado,865,0.0762,Automática,Activo,0,42,F,2,Universitario,Independiente,2350000.0,564.0,False,0,iOS,26.0,172.42307692307693,0.002724131581038217
CR000006,CL00005,2026-01-28,Microcrédito,1300000,6,0.0253,236000,App,776,0.2593,Automática,Mora moderada,1,34,F,1,Universitario,Empleado,910000.0,515.0,False,2,Android,2.0,339.5,0.6809711666399015
CR000007,CL00006,2024-08-11,Crédito libre inversión,3800000,12,0.0293,380000,Web,867,0.1105,Automática,Finalizado,0,34,F,2,Técnico/Tecnólogo,Empleado,3440000.0,466.0,True,0,iOS,1.0,219.0,0.00928883467428134
CR000008,CL00007,2025-06-24,Crédito libre inversión,10800000,12,0.0319,1098000,Aliado,875,0.2845,Automática,Mora severa,1,52,M,3,Universitario,Conductor/Repartidor,3860000.0,600.0,True,0,Android,2.0,114.0,0.9816267480418781
CR000009,CL00008,2024-10-19,Microcrédito,1300000,18,0.0314,96000,App,606,0.064,Manual,Mora severa,1,44,F,4,Técnico/Tecnólogo,Desempleado,1500000.0,456.0,True,0,Android,4.0,140.75,0.9605678365783928
CR000010,CL00010,2025-04-16,Crédito libre inversión,2100000,24,0.0336,129000,App,874,0.0502,Automática,Mora moderada,1,41,F,3,Posgrado,Conductor/Repartidor,2570000.0,576.0,True,0,Android,3.0,170.33333333333334,0.9537754128366374
CR000011,CL00011,2025-09-11,Crédito consumo digital,350000,12,0.0252,34000,App,783,0.0262,Automática,Activo,0,31,F,4,Técnico/Tecnólogo,Desempleado,1300000.0,573.0,False,1,Android,4.0,284.25,0.00408649051679671
CR000012,CL00011,2026-01-11,Crédito libre inversión,1300000,12,0.0315,132000,Web,756,0.1015,Automática,Activo,0,31,F,4,Técnico/Tecnólogo,Desempleado,1300000.0,573.0,False,1,Android,4.0,284.25,0.005473207825843032
CR000013,CL00012,2025-03-29,Crédito libre inversión,6300000,9,0.0268,797000,Web,870,0.2271,Automática,Finalizado,0,31,M,4,Universitario,Empleado,3510000.0,665.0,False,0,Android,3.0,293.3333333333333,0.006041949796845526
CR000014,CL00013,2026-01-19,Crédito consumo digital,1700000,6,0.0259,310000,App,866,0.0664,Automática,Activo,0,38,M,5,Técnico/Tecnólogo,Empleado,4670000.0,692.0,False,0,Android,4.0,184.5,0.007012277137250223
