pago_id,credito_id,cliente_id,numero_cuota,fecha_vencimiento,fecha_pago,valor_cuota,valor_pagado,medio_pago,estado_pago,dias_mora
PG00000001,CR000001,CL00001,1,2025-04-25,2025-04-25,257000,257000,Débito automático,Pagado,0
PG00000002,CR000001,CL00001,2,2025-05-25,2025-05-25,257000,257000,PSE,Pagado,0
PG00000003,CR000001,CL00001,3,2025-06-25,2025-06-25,257000,257000,Billetera digital,Pagado,0
PG00000004,CR000001,CL00001,4,2025-07-25,2025-07-27,257000,257000,Transferencia,Pagado tardío,2
PG00000005,CR000001,CL00001,5,2025-08-25,2025-09-12,257000,257000,PSE,Pagado tardío,18
PG00000006,CR000001,CL00001,6,2025-09-25,2025-09-24,257000,257000,Billetera digital,Pagado,0
PG00000007,CR000001,CL00001,7,2025-10-25,2025-10-24,257000,257000,Efectivo aliado,Pagado,0
PG00000008,CR000001,CL00001,8,2025-11-25,2025-11-24,257000,257000,Débito automático,Pagado,0
PG00000009,CR000001,CL00001,9,2025-12-25,2025-12-25,257000,257000,Transferencia,Pagado,0
PG00000010,CR000002,CL00002,1,2025-10-08,2025-10-06,754000,754000,PSE,Pagado,0
PG00000011,CR000002,CL00002,2,2025-11-08,2025-11-07,754000,754000,Efectivo aliado,Pagado,0
PG00000012,CR000002,CL00002,3,2025-12-08,2025-12-03,754000,754000,Billetera digital,Pagado,0
PG00000013,CR000003,CL00003,1,2024-07-28,2024-07-23,829000,829000,Efectivo aliado,Pagado,0
PG00000014,CR000003,CL00003,2,2024-08-28,2024-09-11,829000,829000,PSE,Pagado tardío,14
PG00000015,CR000003,CL00003,3,2024-09-28,2024-09-18,829000,829000,PSE,Pagado,0
PG00000016,CR000003,CL00003,4,2024-10-28,2024-10-28,829000,829000,Transferencia,Pagado,0
PG00000017,CR000003,CL00003,5,2024-11-28,2024-11-25,829000,829000,Transferencia,Pagado,0
PG00000018,CR000003,CL00003,6,2024-12-28,2025-02-14,829000,829000,PSE,Pagado tardío,48
PG00000019,CR000004,CL00003,1,2024-04-22,2024-04-22,92000,92000,PSE,Pagado,0
PG00000020,CR000004,CL00003,2,2024-05-22,2024-05-19,92000,92000,Efectivo aliado,Pagado,0
PG00000021,CR000004,CL00003,3,2024-06-22,2024-06-28,92000,92000,Efectivo aliado,Pagado tardío,6
PG00000022,CR000004,CL00003,4,2024-07-22,2024-07-17,92000,121000,Billetera digital,Pagado,0
PG00000023,CR000004,CL00003,5,2024-08-22,2024-08-29,92000,92000,Billetera digital,Pagado tardío,7
PG00000024,CR000004,CL00003,6,2024-09-22,2024-09-17,92000,92000,PSE,Pagado,0
PG00000025,CR000004,CL00003,7,2024-10-22,2024-10-17,92000,92000,Efectivo aliado,Pagado,0
PG00000026,CR000004,CL00003,8,2024-11-22,2024-11-21,92000,92000,Efectivo aliado,Pagado,0
PG00000027,CR000004,CL00003,9,2024-12-22,2024-12-22,92000,92000,Débito automático,Pagado,0
